scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
Agricultural Investment Grant (in Case of Crop Damage of 33% or More),Uttarakhand,"The scheme aims to provide financial assistance to farmers who suffer crop losses of 33% or more due to natural calamities such as floods, heavy rainfall, drought, hailstorms, or other notified disasters.",Agricultural,Crop Damage,Crop Loss,Farmer,Investment Subsidy,,"Agricultural, Crop Damage, Crop Loss, Farmer, Investment Subsidy","Agricultural Investment Grant (in Case of Crop Damage of 33% or More) Uttarakhand The scheme aims to provide financial assistance to farmers who suffer crop losses of 33% or more due to natural calamities such as floods, heavy rainfall, drought, hailstorms, or other notified disasters. Agricultural, Crop Damage, Crop Loss, Farmer, Investment Subsidy",https://www.myscheme.gov.in/schemes/aiguk
Agricultural Marketing Infrastructure,Ministry Of Agriculture and Farmers Welfare,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,Agricultural Marketing,Farmer,Promoter,Storage Infrastructure,,,"Agricultural Marketing, Farmer, Promoter, Storage Infrastructure","Agricultural Marketing Infrastructure Ministry Of Agriculture and Farmers Welfare The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain. Agricultural Marketing, Farmer, Promoter, Storage Infrastructure",https://www.myscheme.gov.in/schemes/ami
Agricultural Skill Development Training Programme For Women Farmers And Farmers,Gujarat,"The scheme “Agricultural Skill Development Training Programme for Women Farmers and Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Agriculture,Farmer,Skill Development,Training,Women,Youth,"Agriculture, Farmer, Skill Development, Training, Women, Youth","Agricultural Skill Development Training Programme For Women Farmers And Farmers Gujarat The scheme “Agricultural Skill Development Training Programme for Women Farmers and Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Agriculture, Farmer, Skill Development, Training, Women, Youth",https://www.myscheme.gov.in/schemes/asdtpwff
Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),Ministry Of Commerce And Industry,The Financial Assistance Scheme (FAS) is an export promotion scheme run by APEDA. The scheme aims to facilitate the export of agri-products by providing assistance to exporters.,Agriculture,APEDA,Export Infrastructure,Export Promotion,Financial Assistance,Market Development,"Agriculture, APEDA, Export Infrastructure, Export Promotion, Financial Assistance, Market Development","Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26) Ministry Of Commerce And Industry The Financial Assistance Scheme (FAS) is an export promotion scheme run by APEDA. The scheme aims to facilitate the export of agri-products by providing assistance to exporters. Agriculture, APEDA, Export Infrastructure, Export Promotion, Financial Assistance, Market Development",https://www.myscheme.gov.in/schemes/financial-assistance-scheme
Agriculture Engineering (Mechanical) Scheme,Meghalaya,The objective of the scheme is to provide agricultural machinery such as power tillers/ bulldozers/ tractors etc. on hiring at subsidised rate.,Agricultural Machinery,Agriculture,Engineering,Farmer,Mechanical,Subsidy,"Agricultural Machinery, Agriculture, Engineering, Farmer, Mechanical, Subsidy","Agriculture Engineering (Mechanical) Scheme Meghalaya The objective of the scheme is to provide agricultural machinery such as power tillers/ bulldozers/ tractors etc. on hiring at subsidised rate. Agricultural Machinery, Agriculture, Engineering, Farmer, Mechanical, Subsidy",https://www.myscheme.gov.in/schemes/aems
Agriculture Information Unit Scheme,Meghalaya,"The key objective is to disseminate information on Scientific methods of cultivation to extension staff and farming community through media such as pamphlets, leaflets, radio, television etc. and participating/holding awareness programs by means of exhibitions, seminars etc.",Agriculture,Booklets,Farmer,Information Unit,Leaflets,,"Agriculture, Booklets, Farmer, Information Unit, Leaflets","Agriculture Information Unit Scheme Meghalaya The key objective is to disseminate information on Scientific methods of cultivation to extension staff and farming community through media such as pamphlets, leaflets, radio, television etc. and participating/holding awareness programs by means of exhibitions, seminars etc. Agriculture, Booklets, Farmer, Information Unit, Leaflets",https://www.myscheme.gov.in/schemes/aius
Agriculture Research Stations and Laboratories Scheme,Meghalaya,The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.,Agriculture,Bio Agent,Bio Pesticide,Farmer,Laboratory,Research Station,"Agriculture, Bio Agent, Bio Pesticide, Farmer, Laboratory, Research Station","Agriculture Research Stations and Laboratories Scheme Meghalaya The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents. Agriculture, Bio Agent, Bio Pesticide, Farmer, Laboratory, Research Station",https://www.myscheme.gov.in/schemes/arsls
Agro Service Provider Scheme,Gujarat,"The ""Agro Service Provider Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to support farmers by providing subsidies for acquiring agricultural implements.",Agriculture,Subsidy,,,,,"Agriculture, Subsidy","Agro Service Provider Scheme Gujarat The ""Agro Service Provider Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to support farmers by providing subsidies for acquiring agricultural implements. Agriculture, Subsidy",https://www.myscheme.gov.in/schemes/aspsg
Agroforestry component under RKVY,Ministry Of Agriculture and Farmers Welfare,"Sub-Mission on Agroforestry was launched in 2016-17 to promote plantation on farmlands along with agricultural crops. The scheme aims to increase farm income, expand tree cover and promote better carbon sequestration for climate change adaptation and mitigation.",,,,,,,,"Agroforestry component under RKVY Ministry Of Agriculture and Farmers Welfare Sub-Mission on Agroforestry was launched in 2016-17 to promote plantation on farmlands along with agricultural crops. The scheme aims to increase farm income, expand tree cover and promote better carbon sequestration for climate change adaptation and mitigation. ",https://www.myscheme.gov.in/schemes/agroforestry
Akhil Bhartiya Kisan Mela and Krishi Udyog Pradarshani,Uttarakhand,"The scheme aims to provide a platform for farmers, agri-entrepreneurs, and stakeholders to access, learn about, and showcase the latest agricultural innovations, technologies, and practices.",Agricultural Exhibition,Entrepreneur,Fair,Farmer,,,"Agricultural Exhibition, Entrepreneur, Fair, Farmer","Akhil Bhartiya Kisan Mela and Krishi Udyog Pradarshani Uttarakhand The scheme aims to provide a platform for farmers, agri-entrepreneurs, and stakeholders to access, learn about, and showcase the latest agricultural innovations, technologies, and practices. Agricultural Exhibition, Entrepreneur, Fair, Farmer",https://www.myscheme.gov.in/schemes/aikmkue
Allotment of Commercial Shops,Uttarakhand,The scheme aims to promote ease of doing business for licensed traders by providing them with well-located commercial shops in market yards (mandis).,Business,Commercial Shop,Shop Allotment,Trader,,,"Business, Commercial Shop, Shop Allotment, Trader","Allotment of Commercial Shops Uttarakhand The scheme aims to promote ease of doing business for licensed traders by providing them with well-located commercial shops in market yards (mandis). Business, Commercial Shop, Shop Allotment, Trader",https://www.myscheme.gov.in/schemes/acsuk
Allotment of Shops in Kisan Bazaar,Uttarakhand,The scheme aims to facilitate trade in products other than agricultural produce by providing commercial shops in Kisan Bazaars. The shops are allotted to eligible residents of Uttarakhand through public notices published in newspapers and displayed at public places.,Farmer Market,Kisan Bazaar,Shop Allotment,,,,"Farmer Market, Kisan Bazaar, Shop Allotment","Allotment of Shops in Kisan Bazaar Uttarakhand The scheme aims to facilitate trade in products other than agricultural produce by providing commercial shops in Kisan Bazaars. The shops are allotted to eligible residents of Uttarakhand through public notices published in newspapers and displayed at public places. Farmer Market, Kisan Bazaar, Shop Allotment",https://www.myscheme.gov.in/schemes/asfm
Amar Fasal Amar Gola,West Bengal,"The West Bengal Government had announced a pilot project to provide financial assistance to marginal farmers of the State so that they can have their own storehouses and vending carts. A subsidy varying between Rs. 5,000 and Rs. 25,000 will be provided for the warehouses.",,,,,,,,"Amar Fasal Amar Gola West Bengal The West Bengal Government had announced a pilot project to provide financial assistance to marginal farmers of the State so that they can have their own storehouses and vending carts. A subsidy varying between Rs. 5,000 and Rs. 25,000 will be provided for the warehouses. ",https://www.myscheme.gov.in/schemes/afag
Animal Husbandry,Tamil Nadu,"This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.",Animal Husbandry,Animals Health Cover,Artificial Insemination,Distribution Of Sheep Units,Tribal Welfare,,"Animal Husbandry, Animals Health Cover, Artificial Insemination, Distribution Of Sheep Units, Tribal Welfare","Animal Husbandry Tamil Nadu This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry. Animal Husbandry, Animals Health Cover, Artificial Insemination, Distribution Of Sheep Units, Tribal Welfare",https://www.myscheme.gov.in/schemes/ahtn
Animal Husbandry: Assistance to Small and Marginal Farmers,Uttarakhand,"The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities.",Animal Husbandry,Livestock,Marginal Farmer,Natural Disaster,Small Farmer,,"Animal Husbandry, Livestock, Marginal Farmer, Natural Disaster, Small Farmer","Animal Husbandry: Assistance to Small and Marginal Farmers Uttarakhand The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities. Animal Husbandry, Livestock, Marginal Farmer, Natural Disaster, Small Farmer",https://www.myscheme.gov.in/schemes/ahsmfuk
